date,event,symbol,side,qty,price,stop,tp,r_distance,reason_code,rank_rs,regime,equity_after,notes,row_sha
2026-07-10,SCAN,,,,,,,,,,BULL,20000,"top5=SNDK,BE,MU,WDC,STX",59df075050f822c8f0fbdcd3405a8db74dc7d36dbe7e65f2e1d3ab1e931c45e0
2026-07-10,PROPOSE,SNDK,BUY,,,,,,ROTATE,19.818497,BULL,,enter top-5 (rank 1),e1f6ea0582ebbc4d6e9896215feab5ac50c28127e05105109077bbe0a84dbf61
2026-07-10,PROPOSE,BE,BUY,,,,,,ROTATE,5.2937524,BULL,,enter top-5 (rank 2),123302bca1907cc38938d5cec5beab051a1d3585507487df8dcdae35e574b2a6
2026-07-10,PROPOSE,MU,BUY,,,,,,ROTATE,4.6929856,BULL,,enter top-5 (rank 3),571ad72da7239e93ee84b2e96561b3dd306ad8fe2c46dc3f561daa799b546d2f
2026-07-10,PROPOSE,WDC,BUY,,,,,,ROTATE,4.6718663,BULL,,enter top-5 (rank 4),199c9ec5a8a1445fafc4145ca72d317a3c8e0264b4df15a70e82d0eb2ddab309
2026-07-10,PROPOSE,STX,BUY,,,,,,ROTATE,3.5837859,BULL,,enter top-5 (rank 5),87025d4ca841d7ae9bb7cf6ec53469f1060169733157800b95578a6521f01586
